event,texp,gold_flag
SN1993J,49071.7,True
SN2011dh,55712.4,True
SN2008ax,54528.3,True
SN2016gkg,57651.2,False
SN2013df,56443.9,True
SN2006T,53759.0,True
SN2008aq,54514.9,False
SN2004ex,53288.8,True
SN2006el,53968.8,False
SN2004ff,53302.9,False
