event,texp,trise,e_trise,dm4030,e_dm4030
SN2013fs,56570.8,7.437000000000005,0.9703123208534465,-0.11169981480841042,0.06661321497103584
SN2006T,53759.0,21.434500000000188,0.884496890893361,-0.7604824001808338,0.046522669717544145
SN2006el,53959.0,24.90624999999992,2.15310204995025,-0.5782030080455272,0.16727975620286847
SN2014G,56669.6,12.478499999999963,1.1298397010195698,-0.3247008710469687,0.051005533004655414
SN2008aw,54517.8,14.499749999999974,2.1271724042728573,-0.31967379827993264,0.06920599376935811
SN2008ax,54528.3,19.916749999999936,1.181146450487826,-0.6627254875876273,0.0771859370463523
SN2009N,54845.4,23.64075000000016,12.204449063251655,0.018591390489250764,0.09904498119456193
SN2014cx,56896.9,26.405999999999914,15.392709767938793,-0.05646816958224303,0.1430095728270305
SN2004ex,53287.85000000001,19.24274999999995,1.3677389873437062,-0.7220638105210267,0.026795274996619243
SN1992ba,48884.9,20.581750000000024,2.548284606848337,-0.011373272910234827,0.09033299750491731
SN1999gi,51518.2,14.505249999999965,7.565393904979409,-0.09723953512773481,0.08971949867228297
SN1999em,51476.5,5.502749999999987,5.180089761529216,-0.005747503130142055,0.0842789172669718
SN2013ej,56497.5,12.580500000000002,3.588379822426829,-0.318761022198649,0.08050278460645055
SN2012aw,56002.0,14.324500000000011,2.3792067480570096,-0.04396112567131661,0.06464497615996714
SN2003hn,52866.5,13.224750000000018,1.6325822911878212,-0.18750769808096984,0.06190084594812406
SN2013ai,56339.7,24.864750000000125,2.244013132203139,-0.21205680526305953,0.07535067836345369
SN2004er,53271.8,13.13224999999996,1.9486270647560997,-0.1346142574081254,0.053068860957007774
SN2009ib,55045.0,12.001750000000042,1.747100294058726,-0.05751674545301566,0.039612279260434397
SN2011dh,55712.4,18.483499999999946,1.1681086208054412,-0.7164184734855342,0.0924997442827154
SN2008aq,54513.0,18.358750000000104,0.7752328279297885,-0.6552869260990363,0.050551070188859036
SN2013df,56448.2,20.982500000000154,1.391750246991196,-0.7327913664594419,0.14150618681767665
SN1993J,49073.05,22.07824999999994,0.9390763746895106,-0.6570003963975646,0.06343005137601222
