event,texp_snid,e_snid,texp_obs,e_obs,diff
SN1993J,49074.4,5.79,49071.7,2.6,2.7
SN2004ex,53286.9,7.68,53288.8,0.5,-1.9
SN2004ff,53291.4,3.25,53302.9,3.49,-11.5
SN2006el,53964.0,7.88,53968.8,3.48,-4.8
SN2006T,53760.5,7.69,53759.0,7.02,1.5
SN2008aq,54508.0,9.51,54514.9,8.48,-6.9
SN2008ax,54529.4,6.85,54528.3,0.13,1.1
SN2009K,54850.2,9.12,54843.6,1.49,6.6
SN2011dh,55712.1,8.19,55712.4,0.52,-0.3
SN2013df,56448.2,5.04,56443.9,6.93,4.3
SN2016gkg,57653.2,10.07,57651.2,0.06,2.0
