event,texp,trise,dm1,dm2,dm4030
SN2013ej,56497.5,11.854436090224356,29.26578947368398,5.57443609022552,-5.263490075627632
SN2012aw,56002.0,10.57571428571762,10.270476190476003,6.4190476190475,-1.1839689543118583
SN1999em,51476.5,2.5100000000020373,10.528571428571269,3.8285714285713706,-0.12607933714397995
SN2014cx,56896.9,23.451561403509817,10.472601503760057,6.981734335840034,-0.4465488919305008
SN2004er,53271.8,12.830952380946572,13.96476190476231,9.460000000000276,-2.7176017175647176
SN2009ib,55045.0,11.90827067669312,27.172932330826356,17.557894736841646,-1.0766645004025468
SN2013fs,56570.8,7.648847117785002,26.577278195491502,8.6665037593994,-0.8611486385852676
SN2009N,56570.8,7.648847117785002,26.577278195491502,8.6665037593994,-0.8611459424831418
SN2014G,56669.6,12.746541353385526,25.242105263158713,16.046766917293752,-4.981353958786921
SN2003hn,52866.5,12.900000000001455,6.448120300751704,4.433082706766797,-2.7813079115731814
SN2008aw,54517.8,14.717368421051727,38.96681704260635,27.1695238095237,-5.6981711675704
SN1999gi,51518.2,15.124711779453932,24.817142857143025,15.238596491228172,-0.7293865956215143
SN2013ai,56339.7,25.58735588972926,28.295864661653248,20.33110275689159,-4.0243354135082186
