event,texp,trise,dm1,dm2,dm4030
SN2013ej,56497.5,9.417466165414472,5.2607293233081664,10.043210526315592,0.3066151430955628
SN2012aw,56002.0,10.896666666669995,8.986666666666503,14.442857142856878,0.08204622956780838
SN1999em,51476.5,2.5100000000020373,3.8285714285713706,5.264285714285633,0.01166240712711897
SN2014cx,56896.9,12.54260150375976,12.654393483710065,17.89069423559009,0.08070189200860156
SN2004er,53271.8,12.830952380946572,13.514285714286109,6.7571428571430525,0.13882634676247108
SN2009ib,55045.0,11.90827067669312,27.17293233082636,32.18947368420968,0.059804741068546725
SN2013fs,56570.8,7.456258145353904,21.184786967420767,23.88103258145613,0.11604876863975733
SN2009N,54845.4,12.118249999999534,1.2519473684210567,1.877921052631585,-0.013448747459165132
SN2014G,56669.6,12.385939849626114,28.66781954887311,30.290526315790448,0.3205397237370562
SN2003hn,52866.5,12.900000000001455,2.821052631578871,9.269172932330576,0.18436954742705505
SN2008aw,54517.8,14.35987468671589,42.00551378446098,63.812631578947105,0.3163461691131033
SN1999gi,51518.2,12.0769924812083,5.224661654135374,9.578546365914852,0.08904965050248848
SN1992ba,48884.9,20.261203007519384,16.221654135338426,34.24571428571445,0.011174381252203602
SN2013ai,56339.7,24.748959899754357,28.924661654134432,38.35661654135218,0.21309572462587312
