event,texp,trise,e_trise,dm4030,e_dm4030
SN2008ax,54528.3,19.9175,1.359023086632453,-0.6566383061816837,0.07486721897749131
SN2011dh,,,,,
SN1993J,,,,,
SN2006T,,,,,
SN2004ex,,,,,
SN2008aq,,,,,
SN2013df,,,,,
SN2006el,,,,,
