event,texp,trise,e_trise,dm4030,e_dm4030
SN2009N,54845.4,23.94975000000017,12.326265145513638,-0.023184282568980717,0.10335517395121285
SN2013fs,56570.8,7.478500000000006,0.9734925526166092,0.11203252973777078,0.07233152917917028
SN2006el,53959.0,24.873249999999924,2.3611113776143555,0.5723948383810072,0.17221230150691152
SN2004ex,53287.85000000001,19.190499999999947,1.4211385400445609,0.7174603352131834,0.024353785527195176
SN2011dh,55712.4,18.543249999999944,1.330974055907923,0.7237212206202653,0.09788299636645684
SN1999em,51476.5,4.78724999999999,4.8192348912975635,0.009543691869526513,0.061350723865540344
SN2013df,56448.2,20.933250000000154,1.2755026215182963,0.7354646778650913,0.11981955825501715
SN2003hn,52866.5,13.249500000000017,1.528381415092472,0.1889503765895121,0.0709277803831204
SN2008ax,54528.3,20.074249999999935,1.099306343791389,0.6567822254908505,0.07230149862519349
SN1999gi,51518.2,14.63299999999996,5.481789032788455,0.09091302276084398,0.09125680911688279
SN1993J,49073.05,21.98524999999994,1.536870175876929,0.6470632991384027,0.06380316045659044
SN2008aq,54513.0,18.556000000000108,0.8617360384711905,0.6623608159372654,0.058444626581801
SN2014cx,56896.9,29.753499999999903,20.195243567483832,0.08038137609126456,0.13707048069194958
SN1992ba,48884.9,20.618500000000022,2.30081132429414,0.0046545599151784686,0.09246918543703123
SN2004er,53271.8,13.55799999999996,2.2175912608052832,0.13142691044664245,0.048153528181323624
SN2013ej,56497.5,12.41725,3.4169562387452372,0.3085483213016368,0.07674033783052524
SN2012aw,56002.0,13.65100000000001,4.424491383198755,0.08037659335147268,0.03893196885298614
SN2008aw,54517.8,14.433499999999974,1.867693162700976,0.319264053198932,0.06307116573372826
SN2006T,53759.0,21.50225000000019,0.8980019139734742,0.7587835718843788,0.045997052445485374
SN2013ai,56339.7,25.09600000000013,2.23254540827284,0.20338264891409272,0.08054873495257131
SN2009ib,55045.0,12.048250000000044,1.7123403392725651,0.05946979476768406,0.04076278169151439
SN2014G,56669.6,12.544499999999962,1.1334547851590688,0.3243866236754883,0.05134739361957764
