event,texp,trise,dm1,dm2,dm4030
SN2013ej,56497.5,11.330458646617446,59.78101503759281,12.912699248120049,0.2839514804072678
SN2012aw,56002.0,11.85952380952712,12.517142857142629,18.936190476190134,0.0645775105804205
SN1999em,51476.5,2.5100000000020373,10.528571428571267,16.271428571428324,0.04489348456263542
SN2014cx,56896.9,16.469827067669787,10.908959899750057,14.836185463660073,0.03559209489275972
SN2004er,53271.8,12.830952380946572,59.01238095238267,20.271428571429173,0.12539803146501072
SN2009ib,55045.0,9.400000000001457,53.50977443608882,1.2541353383458311,0.08852231130003929
SN2013fs,56570.8,6.8784912280606125,25.806922305767106,13.673817042607947,0.08791188045870513
SN2009N,54845.4,12.118249999999534,3.755842105263172,7.19869736842108,-0.015117384802444178
SN2014G,56669.6,12.746541353385524,25.06180451127901,28.848120300752818,0.30253501841798425
SN2003hn,52866.5,12.900000000001455,23.37443609022493,1.209022556390945,0.17667607880453318
SN2008aw,54517.8,15.611102756891324,36.64310776942341,0.7149874686716764,0.2968045175075531
SN1999gi,51518.2,12.512380952386248,15.673984962406118,21.769423558897394,0.08981457962363493
SN1992ba,48884.9,19.360000000000586,14.869849624060222,23.43127819548884,0.033220939338207245
SN2013ai,56339.7,24.95855889724807,28.086265664159516,19.492706766916683,0.22462564334273336
